region,country_name,catch
Americas,Aruba,NA
Asia,Afghanistan,0.00174
Africa,Angola,0.4724762
Americas,Anguilla,NA
Europe,Åland Islands,NA
Europe,Albania,0.0083906
Europe,Andorra,NA
Asia,United Arab Emirates,0.0730406
Americas,Argentina,0.8316846
Asia,Armenia,0.0042312
Oceania,American Samoa,NA
NA,Antarctica,NA
Africa,French Southern Territories,NA
Americas,Antigua and Barbuda,0.0034428
Oceania,Australia,0.1728294
Europe,Austria,3.5e-4
Asia,Azerbaijan,7.936e-4
Africa,Burundi,0.018042
Europe,Belgium,0.025759
Africa,Benin,0.0454729
Americas,"Bonaire, Sint Eustatius and Saba",NA
Africa,Burkina Faso,0.0217856
Asia,Bangladesh,1.764547
Europe,Bulgaria,0.0088723
Asia,Bahrain,0.015166
Americas,Bahamas,0.0117916
Europe,Bosnia and Herzegovina,3e-4
Americas,Saint Barthélemy,NA
Europe,Belarus,7.596e-4
Americas,Belize,0.0842234
Americas,Bermuda,NA
Americas,Bolivia (Plurinational State of),0.0070322
Americas,Brazil,0.8292848
Americas,Barbados,0.0026123
Asia,Brunei Darussalam,0.0069076
Asia,Bhutan,1.33e-5
Americas,Bouvet Island,NA
Africa,Botswana,3.512e-4
Africa,Central African Republic,0.029
Americas,Canada,0.8584387
Oceania,Cocos (Keeling) Islands,NA
Europe,Channel Islands,NA
Europe,Switzerland,0.0019592
Americas,Chile,1.745241
Asia,China,16.27108
Africa,Côte d'Ivoire,0.0860324
Africa,Cameroon,0.2291854
Africa,Democratic Republic of the Congo,0.2439681
Africa,Congo,0.0870032
Oceania,Cook Islands,0.004183
Americas,Colombia,0.0807478
Africa,Comoros,0.0197778
Africa,Cabo Verde,0.0310998
Americas,Costa Rica,0.01508
Americas,Cuba,0.0235484
Americas,Curaçao,NA
Oceania,Christmas Island,NA
Americas,Cayman Islands,NA
Asia,Cyprus,0.0014378
Europe,Czechia,0.0036956
Europe,Germany,0.2518032
Africa,Djibouti,0.0020508
Americas,Dominica,8.278e-4
Europe,Denmark,0.7715077
Americas,Dominican Republic,0.0138436
Africa,Algeria,0.0998222
Americas,Ecuador,0.6315558
Africa,Egypt,0.3503857
Africa,Eritrea,0.0043
Africa,Western Sahara,NA
Europe,Spain,0.9291278
Europe,Estonia,0.073952
Africa,Ethiopia,0.048002
Europe,Finland,0.1834414
Oceania,Fiji,0.047011
Americas,Falkland Islands (Malvinas),1e-6
Europe,France,0.4955322
Europe,Faroe Islands,0.5771734
Oceania,Micronesia (Federated States of),0.0694622
Africa,Gabon,0.0289399
Europe,United Kingdom of Great Britain and Northern Ireland,0.7119992
Asia,Georgia,0.0478382
Europe,Guernsey,NA
Africa,Ghana,0.3466565
Europe,Gibraltar,NA
Africa,Guinea,0.2478292
Americas,Guadeloupe,NA
Africa,Gambia,0.0587943
Africa,Guinea-Bissau,6.171e-4
Africa,Equatorial Guinea,0.0064518
Europe,Greece,0.0689006
Americas,Grenada,0.0026682
Americas,Greenland,0.2840693
Americas,Guatemala,0.0208638
Americas,French Guiana,4.62e-5
Oceania,Guam,NA
Americas,Guyana,0.0417382
Asia,"China, Hong Kong SAR",NA
Oceania,Heard Island and McDonald Islands,NA
Americas,Honduras,0.0104894
Europe,Croatia,0.074641
Americas,Haiti,0.0165
