country_name,region,catch,ssf_v_portions,ssf_v_total_employment,ssf_v_women_employment,ssf_v_livelihood,ssf_v_total_catch,ssf_employment_w,harvest_marine_ssf_w,harvest_inland_ssf_w,ssf_employment,ssf_livelihoods
Aruba,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,Asia,0.00174,NA,0.9910633665062865,0.9921604123661221,0.998320111620523,1,0.07755078,0,0.00733601,0.18982686,3.4036241900000004
Angola,Africa,0.4724762,NA,0.8219890353723486,0.8325387653585986,0.8979561786747744,0.32349925562388115,0.08692449,0.01824359,0.00177204,0.20487826,1.49239656
Anguilla,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Åland Islands,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Albania,Europe,0.0083906,NA,0.49780460559823186,0.48081126492498477,0.504791094902071,0.5988810097013324,0.0035569599999999996,1.3235e-4,1.0663e-4,0.01041914,0.04035246
Andorra,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
United Arab Emirates,Asia,0.0730406,NA,1,1,1,0.8300732880069441,0.02288455,0.00353108,0,0.06697376,0.35389175
Argentina,Americas,0.8316846,0.1507133978299644,0.7415201366962774,0.7098764443888171,0.7983832083534169,0.05510139059927285,0.01463296,0.00181968,7.9146e-4,0.04915973,0.20378332999999998
Armenia,Asia,0.0042312,NA,1,1,1,1,4.8326e-4,0,5.676e-5,0.00195684,0.00883199
American Samoa,Oceania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Southern Territories,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,Americas,0.0034428,NA,NA,NA,NA,0.6285953293830603,NA,NA,NA,NA,NA
Australia,Oceania,0.1728294,NA,0.9443669268956132,0.9445920610835048,0.9928852132077671,1,0.059624029999999995,9.4098e-4,0.00933378,0.15272946,3.6315931200000002
Austria,Europe,3.5e-4,NA,0.7862347458114731,0.7252842250322185,0.7841845163658892,1,4.5473000000000003e-4,0,2.539e-5,0.0015030999999999998,0.00546815
Azerbaijan,Asia,7.936e-4,NA,1,1,1,1,0.00118954,0,6.691e-5,0.0040923,0.01891605
Burundi,Africa,0.018042,NA,0.9215544050377747,0.8886840675157248,0.9724340097246954,1,0.00825823,0,8.1936e-4,0.0267442,0.30072901
Belgium,Europe,0.025759,NA,0.3721644612476371,0.337385469292201,0.3646450587677416,0.014423890678985984,3.49336e-4,1.64e-7,7.862e-6,0.00111825,0.00402943
Benin,Africa,0.0454729,NA,0.9217219679511457,0.9117029927988672,0.9555201013540066,1,0.03679409,0.00104795,0.00247041,0.10769146000000002,0.74283071
"Bonaire, Sint Eustatius and Saba",Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Africa,0.0217856,NA,1,1,1,1,0.02338212,0,0.00233343,0.06012671,0.45286419
Bangladesh,Asia,1.764547,0.9673114216959531,0.966240397437661,0.9733042138221513,0.9931295934637993,0.9784190389941441,0.71576496,0.03714996,0.02067843,3.18981405,55.484900999999994
Bulgaria,Europe,0.0088723,NA,0.5572032207020763,0.4532584695459836,0.5804238002070138,1,0.00234428,3.3653e-4,6.994e-5,0.010190790000000002,0.04429434
Bahrain,Asia,0.015166,NA,0.9996453215607005,0.9994800680881695,0.9998151223690966,1,0.00461109,0.00141056,0,0.017333499999999998,0.10302208
Bahamas,Americas,0.0117916,NA,0.9661106227246233,0.9539211641141073,0.9740188405206082,0.7223557447674616,0.00186806,0.00103523,0,0.00808851,0.03104987
Bosnia and Herzegovina,Europe,3e-4,NA,0.6847895460780669,0.562790868749635,0.6922418345667776,1,0.0026011800000000002,1.1073e-4,3.4398e-4,0.01099759,0.04266726
Saint Barthélemy,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,Europe,7.596e-4,NA,1,1,1,1,0.00244154,0,6.691e-5,0.00587468,0.02508365
Belize,Americas,0.0842234,NA,0.7993096582891193,0.8910219937325805,0.8564091715396964,0.06150993666843181,0.00308503,0.00217375,0,0.00676877,0.02995715
Bermuda,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia (Plurinational State of),Americas,0.0070322,NA,1,1,1,1,0.01113521,0,0.00274006,0.03704939,0.16031625
Brazil,Americas,0.8292848,0.6782228338429714,0.8473329805113986,0.8269035064631158,0.9020646959643225,0.697776141561982,0.20675352000000002,0.0675498,0.02155875,0.771214,3.8996472399999997
Barbados,Americas,0.0026123,1,0.8731439730273739,0.8371405193020165,0.9000816548720739,0.9999877502583929,7.5402e-4,2.8984e-4,0,0.00276323,0.010582079999999999
Brunei Darussalam,Asia,0.0069076,NA,0.867624496009705,0.8801938596296214,0.9304890369480182,0.4399982627830216,9.897999999999999e-4,4.036e-5,0,0.00218847,0.01263619
Bhutan,Asia,1.33e-5,NA,0.9705868161255146,0.9770969289316808,0.9967452403687879,1,0.00394963,0,2.3568e-4,0.00905178,0.27754438
Bouvet Island,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,Africa,3.512e-4,NA,0.861495682384892,0.8687378706743162,0.9232066887220032,1,0.00409146,0,1.2709e-4,0.008371300000000002,0.06036854999999999
Central African Republic,Africa,0.029,NA,1,1,1,1,0.00807519,0,0.0020289,0.03391242,0.74533081
Canada,Americas,0.8584387,NA,0.688253833170266,0.6738159940229703,0.8226790814762808,0.1723370148619814,0.02513523,0.00568925,3.5753e-4,0.08439937,0.45075774
Cocos (Keeling) Islands,Oceania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channel Islands,Europe,NA,NA,0.5333384677590157,0.4858007213031015,0.5219656766241547,NA,1.1032e-4,1.343e-5,0,5.54e-4,0.0019514
Switzerland,Europe,0.0019592,NA,0.8112147668271377,0.7577199217915127,0.8096172054646287,1,4.7861e-4,0,2.146e-5,0.00154521,0.00562637
Chile,Americas,1.745241,0.5413654212991141,0.8441990442067183,0.8647237769853721,0.8903550993858355,0.5132695071912704,0.042399240000000005,0.01408911,0,0.14850871000000002,0.67055489
China,Asia,16.27108,0.5652311503445375,0.8987995198789865,0.9203728011822362,0.9594319928788062,0.5362735796886253,6.99125603,0.39021819,0.77080581,18.06835571,154.111764
Côte d'Ivoire,Africa,0.0860324,NA,0.8892303656855667,0.8008857092090067,0.9497735952196005,1,0.012981139999999999,6.2179e-4,4.1685e-4,0.08502297,0.75799268
Cameroon,Africa,0.2291854,NA,0.9241361134364198,0.9031867026704522,0.9579665598795777,0.3988954139312539,0.07959583,0.00955781,0.01090503,0.25562164,1.8186161900000002
Democratic Republic of the Congo,Africa,0.2439681,NA,0.9994943520957683,0.9992688559879961,0.9997549021522641,1,0.16815298,8.566e-4,0.01348497,0.51106563,3.8903085
Congo,Africa,0.0870032,0.36357276687177287,0.9237764860175964,0.9037260290266775,0.9654562410311873,0.6851823381208967,0.02066572,0.00225137,0.00274247,0.06776731,0.58887037
Cook Islands,Oceania,0.004183,1,NA,NA,NA,0.1030360984939039,NA,NA,NA,NA,NA
Colombia,Americas,0.0807478,NA,0.9597125015622527,0.9642140081159128,0.9736396326634615,1,0.16937606,0.00409085,0.02512942,0.56355559,2.62998303
Comoros,Africa,0.0197778,NA,1,1,1,0.2624930983223614,0.00166727,1.0861e-4,0,0.0055946599999999996,0.0446002
Cabo Verde,Africa,0.0310998,NA,0.8420890677923605,0.8373915783036866,0.8927857252089387,0.07651219621991139,0.00144062,5.493e-5,0,0.0036944300000000003,0.02142567
Costa Rica,Americas,0.01508,NA,0.9216197996426929,0.95561687127073,0.9552130521786583,1,0.00823452,0.0035909,1.4596e-4,0.016255059999999998,0.08701541
Cuba,Americas,0.0235484,NA,0.6362481701103508,0.696120353014683,0.6889309020744712,0.2592571469823852,0.01497405,2.0118e-4,6.2646e-4,0.03440902,0.13096511
Curaçao,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Island,Oceania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,Asia,0.0014378,NA,0.5049937451671801,0.4673271013274511,0.585499969926145,1,3.3134799999999997e-4,4.275e-5,2.948e-6,0.00124738,0.00554859
Czechia,Europe,0.0036956,NA,0.9056614658481433,0.8798970026479694,0.915346729350749,1,0.00518042,0,2.1286e-4,0.015227810000000001,0.06705291
Germany,Europe,0.2518032,NA,0.6034671857215846,0.5754463183644157,0.6163356996725776,0.2089958983841349,0.00820522,5.1769e-4,5.643e-5,0.02593743,0.10345975
Djibouti,Africa,0.0020508,NA,0.8606703137665996,0.8488000414201667,0.9143883563117369,1,0.0031148499999999997,9.227e-5,0,0.00811168,0.052321000000000006
Dominica,Americas,8.278e-4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Denmark,Europe,0.7715077,NA,0.6621119771700222,0.6564563665453457,0.6713942433085361,0.011301038213876543,0.0035080700000000003,1.6388e-4,0,0.01491392,0.05843414
Dominican Republic,Americas,0.0138436,NA,1,1,1,1,0.01569429,0.00155123,5.4082e-4,0.04111089,0.16785692
Algeria,Africa,0.0998222,NA,0.8075334665377762,0.7634923990659116,0.8808227745937272,0.9053361777239932,0.02047666,0.00387896,0,0.12541409,0.60324306
Ecuador,Americas,0.6315558,NA,0.49979321797008663,0.469337851509381,0.6120010381266547,0.1662023070645539,0.061742149999999996,0.00395436,1.0783e-4,0.2518761,1.21651906
Egypt,Africa,0.3503857,0.7365423326238932,0.6218830818382465,0.3322075173744676,0.7035282691604678,0.7869921346675963,0.02986422,0.00394173,0.0051344,0.33302469,1.32952811
Eritrea,Africa,0.0043,NA,1,1,1,1,0.00486582,7.08e-5,0,0.01236929,0.09699783000000001
Western Sahara,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Europe,0.9291278,0.12820720231356417,0.4736199939020177,0.5107710733619972,0.49277808290868563,0.13300174636901405,0.03723041,8.3997e-4,5.446e-5,0.07294608,0.30086044
Estonia,Europe,0.073952,NA,0.6417336107767934,0.6114120639119334,0.6468279063991172,0.08696810093033318,0.00147561,1.1409e-4,5.848e-5,0.00708094,0.02708359
Ethiopia,Africa,0.048002,NA,0.9881981152897957,0.9857939251641031,0.9947097213327807,1,0.09505582,0,2.5049e-4,0.24302191,2.04697469
Finland,Europe,0.1834414,NA,0.634966451294153,0.5821984520174268,0.6463095943801759,0.2365034119887877,0.0043964,4.2809e-4,5.7e-5,0.02069162,0.08193438
Fiji,Oceania,0.047011,0.5316260514913622,0.8613234054082027,0.8066027304912007,0.9323853431068059,0.6775478079598392,0.00375697,0.00111454,1.0256e-4,0.01414728,0.08998726
Falkland Islands (Malvinas),Americas,1e-6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
France,Europe,0.4955322,NA,0.6754166341365198,0.6932507161384844,0.6952164123452828,0.1095361229805046,0.0469209,0.00110524,5.528e-5,0.10519814,0.43904797
Faroe Islands,Europe,0.5771734,NA,NA,NA,NA,0.002759536388891103,NA,NA,NA,NA,0
Micronesia (Federated States of),Oceania,0.0694622,NA,NA,NA,NA,0.009637054397931536,NA,NA,NA,NA,NA
Gabon,Africa,0.0289399,0.7016724913617238,0.886194203462526,0.8718625520509191,0.9365025299373024,0.7572002667597331,0.00598191,0.00133177,4.1037e-4,0.01676091,0.11883142000000001
United Kingdom of Great Britain and Northern Ireland,Europe,0.7119992,0.1463336616631633,0.41960870017805185,0.43488824008768306,0.43403534881477956,0.0710731009248325,0.00915772,6.869e-4,5.487e-5,0.03849614,0.15552714
Georgia,Asia,0.0478382,NA,0.6099108695454256,0.5644226420402733,0.6888477942813972,0.01180552361919972,6.90119e-4,9.009e-6,6.003e-5,0.0026796800000000003,0.01221799
Guernsey,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Ghana,Africa,0.3466565,0.8423302880195905,0.908991782978713,0.8530700045135793,0.9359338752116558,0.8754671093719576,0.05811774,0.00397235,0.01334719,0.2974432,1.6583739800000001
Gibraltar,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Guinea,Africa,0.2478292,0.7775255094186833,0.9501680224726649,0.9292142835231252,0.9765354510264984,0.7387337650284954,0.0235664,0.00296472,8.6871e-4,0.07837554999999999,0.64321109
Guadeloupe,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,Africa,0.0587943,0.9488345854119876,0.9455380779489115,0.9459324464869785,0.9687778326501796,0.8899538730795332,0.0077836599999999995,1.6328e-4,3.954e-5,0.01903718,0.12676363000000002
Guinea-Bissau,Africa,6.171e-4,NA,0.849418740947148,0.78784285711293,0.9110419432775396,1,0.00376076,7.1614e-4,2.641e-4,0.015616640000000001,0.10631424
Equatorial Guinea,Africa,0.0064518,NA,0.8908299127849497,0.8928168267236642,0.9419980069722055,1,0.00463867,9.4686e-4,1.1723e-4,0.011218230000000001,0.08331816
Greece,Europe,0.0689006,NA,0.7210920623680992,0.6976514130600501,0.732856294649124,0.35387793429955616,0.007962170000000001,7.855e-4,0,0.02753622,0.1100496
Grenada,Americas,0.0026682,NA,NA,NA,NA,0.995534817479949,NA,NA,NA,NA,NA
Greenland,Americas,0.2840693,0.32562865126898677,NA,NA,NA,0.13162516329642096,NA,NA,NA,NA,NA
Guatemala,Americas,0.0208638,NA,0.8221895418468452,0.8796931796585378,0.888841037657146,1,0.01462694,0.00684964,9.7599e-4,0.03333223,0.17206727000000002
French Guiana,Americas,4.62e-5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Guam,Oceania,NA,NA,0.8223264612277765,0.7799449295252971,0.9369027464721509,NA,0.0013582,1.4317e-4,0,0.0038602800000000002,0.03523561
Guyana,Americas,0.0417382,NA,0.7987291627638097,0.735354846759914,0.8520768971698063,0.16039723802176423,0.00198014,5.9162e-4,3.2462e-4,0.00993417,0.04273129
"China, Hong Kong SAR",Asia,NA,NA,0.9967131725907582,0.9969898854864763,0.9968725514568335,NA,0.02775501,0.00201766,3.891e-5,0.06369928999999999,0.2012616
Heard Island and McDonald Islands,Oceania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,Americas,0.0104894,NA,0.7271317891605927,0.7778424478102843,0.8350029718895715,1,0.02075475,0.00760834,8.1487e-4,0.0435345,0.24820627
Croatia,Europe,0.074641,NA,0.5205168821303874,0.4325438256394743,0.5300913604593328,0.1765915515601345,0.0041122400000000005,5.5004e-4,1.663e-5,0.015335890000000001,0.06014151
Haiti,Americas,0.0165,NA,1,1,1,1,0.01808682,0.00715954,5.6121e-4,0.06869449000000001,0.37084308
Hungary,Europe,0.006104,NA,0.796940223235284,0.7883538362908397,0.8111180367041523,0.9999918086500655,0.00260696,0,7.617e-5,0.00621815,0.02659901
Indonesia,Asia,6.216701,0.3225763454437978,0.9360849702931464,0.9317548537623608,0.9680867929626442,0.31252928651386,0.75727553,0.316006,0.07372264,3.31735471,20.321834
Isle of Man,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
India,Asia,5.035216,0.28049604048904675,0.9457723177474163,0.9456109170778706,0.9706067102877329,0.37475994396268203,3.40529204,0.36589353,1.4138853,9.58069344,63.167567
Chagos Archipelago,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,Europe,0.247086,NA,0.5283645516603832,0.5032017975049823,0.5371435617273781,0.04030941453582963,0.0030516199999999997,2.1613e-4,1.515e-5,0.013442820000000001,0.05249359
Iran (Islamic Republic of),Asia,0.6418576,0.9209168916740234,0.8914581618631955,0.9156334565129696,0.9507077767602459,0.9228093894969849,0.23167919,0.01694446,0.00180628,0.5872821,4.7353471
Iraq,Asia,0.0419338,NA,1,1,1,1,0.01789627,2.4172e-4,0.00164145,0.050172720000000004,0.27551438
Iceland,Europe,1.200786,NA,0.45672343937741056,0.4494453952017327,0.4531691770981741,0.0016922832211568092,4.5985499999999995e-4,4.988e-5,1.065e-6,0.0020640199999999997,0.00758612
Israel,Asia,0.0019528,NA,0.8097584163521152,0.7736035827820634,0.8610189707187763,1,0.0017740199999999999,5.332e-5,6.511e-5,0.00603036,0.02822601
Italy,Europe,0.1899634,NA,0.4092232767683585,0.38734573501304825,0.42723941504380664,0.267878333405277,0.03223571,0.00101597,2.7158e-4,0.07050595,0.29047678
Jamaica,Americas,0.0173284,NA,0.7454444585961459,0.7271621926266112,0.8286214288954453,1,0.00590279,0.00214557,1.6251e-4,0.02171391,0.10704299
Jersey,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jordan,Asia,8.504e-4,NA,1,1,1,1,6.3137e-4,4.506e-5,4.333e-5,0.00213695,0.022290690000000002
Japan,Asia,3.420012,NA,0.9433311390217901,0.9501446379922069,0.956457776992612,0.1968323464946907,0.42994576,0.03367432,0.00316468,1.02298636,4.2204106
Kazakhstan,Asia,0.0369564,NA,1,1,1,1,0.01214191,0,8.7666e-4,0.034415470000000004,0.17041792
Kenya,Africa,0.2002308,0.9998827239931406,0.9062850327720524,0.9061378076706101,0.9425964299297862,0.9989653539815054,0.04889399999999999,1.7074e-4,0.00214089,0.17568716,1.13325163
Kyrgyzstan,Asia,1.159e-4,NA,1,1,1,1,8.9334e-4,0,7.084e-5,0.0033064799999999997,0.0151787
Cambodia,Asia,0.6337718,NA,0.9446228576445491,0.9651927922738435,0.9806977077296617,0.9791982713651823,0.53699111,0.00444417,0.02695046,0.87731181,7.6495595000000005
Kiribati,Oceania,0.119367,1,0.8925512112870031,0.8097558690056942,0.9936186750778266,0.159172970754061,0.0017973899999999998,2.8794e-4,0,0.005806840000000001,0.30930159
Saint Kitts and Nevis,Americas,0.0670966,0.004761626104730465,NA,NA,NA,0.006107612010146564,NA,NA,NA,NA,NA
Republic of Korea,Asia,1.541128,NA,0.9449990496664961,0.9516298530620657,0.9705883256616051,0.22949011049049786,0.18762928,0.01066533,0.00184613,0.4324588,2.5808692
Kosovo (Serbia),Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Kuwait,Asia,0.0045176,NA,0.9955399330739183,0.9962748602451829,0.9972482185007134,1,0.005416590000000001,2.6683e-4,0,0.01290187,0.06589174
Lao People's Democratic Republic,Asia,0.1733253,NA,0.9683766881478988,0.9722310905201607,0.9970660161132683,0.9999998269150552,0.07071132,0,0.00731203,0.15573982,4.979192879999999
Lebanon,Asia,0.0035288,NA,0.9802020909132257,0.9793164311616376,0.9887677429516459,1,0.00508901,4.9851e-4,6.334e-5,0.01387885,0.07847108
Liberia,Africa,0.0162565,0.8543900694228785,0.7717789714139818,0.7294369388554781,0.8778312814528124,0.897577338295451,0.01070394,0.00132505,2.232e-5,0.031920840000000006,0.25649325
Libya,Africa,0.0298,NA,0.8544727889279439,0.7683891567090864,0.9151252314466622,1,0.00538106,0.00133291,0,0.04103239,0.203687
Saint Lucia,Americas,0.0020422,0.682927485493921,0.8124958117538938,0.786036684238974,0.8857272194281476,0.8190353540299677,4.4791199999999996e-4,1.8973e-4,0,0.0016974500000000003,0.0088831
Liechtenstein,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Sri Lanka,Asia,0.7600245,0.8082207081983152,0.593698075684794,0.5643048900312551,0.7710424848162667,0.8445839969632558,0.10853487,0.03687194,0.0037796,0.43945527999999995,3.5121922000000003
Lesotho,Africa,5.16e-5,NA,0.7950364127891462,0.7423479401967272,0.9049926929359889,1,6.6187e-4,0,4.587e-5,0.00205567,0.018714
Lithuania,Europe,0.1045594,NA,0.5154220200272281,0.544508221729974,0.515273993282807,0.026560997863415436,8.7805e-4,2.621e-5,1.499e-5,0.00332407,0.01240703
Luxembourg,Europe,NA,NA,0.43445204735527315,0.12213285671730711,0.3923554393988893,NA,3.28e-7,0,3.28e-7,4e-6,1.201e-5
Latvia,Europe,0.1098646,NA,0.3031358649332377,0.26580100023938463,0.29688059690581725,0.008933569138739867,3.28664e-4,1.057e-5,9.664e-6,0.00134445,0.00487339
"China, Macao",Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Martin (French Part),Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,Africa,1.206874,0.06311376639353568,0.9761679466171126,0.9534678575088962,0.9839189164397775,0.08165341866673737,0.037863,0.01290811,1.6445e-4,0.30138953999999996,1.21745276
Monaco,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Republic of Moldova,Europe,5e-5,NA,1,1,1,1,0.0010328099999999999,0,7.207e-5,0.0031230399999999997,0.01306507
Madagascar,Africa,0.1378838,1,0.8479636920785945,0.7579177274535698,0.9119897280211952,0.7503582001656467,0.06492299,0.00679107,0.00394795,0.32006705,2.27708821
