anon_country_name,region,metric,value
country_name_148,Asia,portions,1
country_name_148,Asia,total_employment,0.9910633665062865
country_name_148,Asia,women_employment,0.9921604123661221
country_name_148,Asia,livelihood,0.998320111620523
country_name_148,Asia,total_catch,1
country_name_146,Africa,portions,0.2563560839882372
country_name_146,Africa,total_employment,0.8219890353723486
country_name_146,Africa,women_employment,0.8325387653585986
country_name_146,Africa,livelihood,0.8979561786747744
country_name_146,Africa,total_catch,0.3318653880131952
country_name_182,Europe,portions,0.7803642421909108
country_name_182,Europe,total_employment,0.49780460559823186
country_name_182,Europe,women_employment,0.48081126492498477
country_name_182,Europe,livelihood,0.504791094902071
country_name_182,Europe,total_catch,0.601121998069268
country_name_156,Asia,portions,0.3050256084403897
country_name_156,Asia,total_employment,1
country_name_156,Asia,women_employment,1
country_name_156,Asia,livelihood,1
country_name_156,Asia,total_catch,0.8300732917035184
country_name_151,Americas,portions,0.06926877074314026
country_name_151,Americas,total_employment,0.7415201366962774
country_name_151,Americas,women_employment,0.7098764443888171
country_name_151,Americas,livelihood,0.7983832083534169
country_name_151,Americas,total_catch,0.0625717268421226
country_name_005,Asia,portions,0.07191016040896821
country_name_005,Asia,total_employment,1
country_name_005,Asia,women_employment,1
country_name_005,Asia,livelihood,1
country_name_005,Asia,total_catch,1
country_name_243,Americas,portions,0.3628657332508242
country_name_243,Americas,total_catch,0.6285951946090391
country_name_189,Oceania,portions,1
country_name_189,Oceania,total_employment,0.9443669268956132
country_name_189,Oceania,women_employment,0.9445920610835048
country_name_189,Oceania,livelihood,0.9928852132077671
country_name_189,Oceania,total_catch,1
country_name_184,Europe,portions,0.21418757013525513
country_name_184,Europe,total_employment,0.7862347458114731
country_name_184,Europe,women_employment,0.7252842250322185
country_name_184,Europe,livelihood,0.7841845163658892
country_name_184,Europe,total_catch,1
country_name_003,Asia,portions,0.08819117949484001
country_name_003,Asia,total_employment,1
country_name_003,Asia,women_employment,1
country_name_003,Asia,livelihood,1
country_name_003,Asia,total_catch,1
country_name_130,Africa,portions,0.7484943527982102
country_name_130,Africa,total_employment,0.9215544050377747
country_name_130,Africa,women_employment,0.8886840675157248
country_name_130,Africa,livelihood,0.9724340097246954
country_name_130,Africa,total_catch,1
country_name_141,Europe,portions,0.006856266291065088
country_name_141,Europe,total_employment,0.3721644612476371
country_name_141,Europe,women_employment,0.337385469292201
country_name_141,Europe,livelihood,0.3646450587677416
country_name_141,Europe,total_catch,0.014662712619666915
country_name_152,Africa,portions,1
country_name_152,Africa,total_employment,0.9217219679511457
country_name_152,Africa,women_employment,0.9117029927988672
country_name_152,Africa,livelihood,0.9555201013540066
country_name_152,Africa,total_catch,1
country_name_093,Africa,portions,0.7005771627879187
country_name_093,Africa,total_employment,1
country_name_093,Africa,women_employment,1
country_name_093,Africa,livelihood,1
country_name_093,Africa,total_catch,1
country_name_031,Asia,portions,1
country_name_031,Asia,total_employment,0.966240397437661
country_name_031,Asia,women_employment,0.9733042138221513
country_name_031,Asia,livelihood,0.9931295934637993
country_name_031,Asia,total_catch,0.9784190389941441
country_name_084,Europe,portions,1
country_name_084,Europe,total_employment,0.5572032207020763
country_name_084,Europe,women_employment,0.4532584695459836
country_name_084,Europe,livelihood,0.5804238002070138
country_name_084,Europe,total_catch,1
country_name_244,Asia,portions,0.603157227565036
country_name_244,Asia,total_employment,0.9996453215607005
country_name_244,Asia,women_employment,0.9994800680881695
country_name_244,Asia,livelihood,0.9998151223690966
country_name_244,Asia,total_catch,1
country_name_177,Americas,portions,0.4238092445936624
country_name_177,Americas,total_employment,0.9661106227246233
country_name_177,Americas,women_employment,0.9539211641141073
country_name_177,Americas,livelihood,0.9740188405206082
country_name_177,Americas,total_catch,0.722355784541538
country_name_048,Europe,total_employment,0.6847895460780669
country_name_048,Europe,women_employment,0.562790868749635
country_name_048,Europe,livelihood,0.6922418345667776
country_name_002,Europe,portions,0.30291384352418416
country_name_002,Europe,total_employment,1
country_name_002,Europe,women_employment,1
country_name_002,Europe,livelihood,1
country_name_002,Europe,total_catch,1
country_name_032,Americas,portions,0.017563395833344857
country_name_032,Americas,total_employment,0.7993096582891193
country_name_032,Americas,women_employment,0.8910219937325805
country_name_032,Americas,livelihood,0.8564091715396964
country_name_032,Americas,total_catch,0.06150994818031569
country_name_251,Americas,portions,0.7802873676358197
